lyrics,label,language
"Volvió de estudiar en Columbia
A la isla, sin nada que hacer
El año se le hizo largo
Estudió y cumplir su deber
En llamada a su amiga le dice que este verano es pa' beber
Solo quiere salir y de nadie depender

Hasta que me conoció
Ella no se lo esperaba
La vi entrando en la disco
Me devolvió la mirada
Sonrisita nerviosa
Entre besos, se enfadaba
Se le escapó un te quiero a la que no quería nada

Hasta que me conoció
Ella no se lo esperaba
La vi entrando en la disco
Me devolvió la mirada
Sonrisita nerviosa
Entre besos, se enfadaba
Se le escapó un te quiero a la que no quería nada

Bebé, los dos sabemos que es verano
Y que tal vez, cuando termine agosto, no nos volvemos a ver
Pero quiero tener algo pa' cuando no estés
Así que acumulemos recuerdos

Cada vez que el labio te muerdo
Me empujas y me pegas a la pared
Mirándonos fijamente, como en una última vez
Sé que estudia en la USA y me usa a su merced

Bebé, sé que le tienes
Mucho miedo al compromiso
Y yo también
Quieres olvidarme
Mmm, ódiame si eso te ayuda
Pero, ma, me entran dudas
Porque sé que solo tú
Te ríes mientras chingamos en el cuarto a poca luz
Nos echamos la última copa
Y dale, cuídese, salud
Y eso que sentimental nunca ha sido su actitud

Hasta que me conoció
Ella no se lo esperaba
La vi entrando en la disco
Me devolvió la mirada
Sonrisita nerviosa
Entre besos, se enfadaba
Se le escapó un te quiero a la que no quería nada

Estoy reviviendo to' lo que hicimos este verano
La playa de la mano, los besos sin te amo
Haciéndolo hasta tarde pa' levantarnos temprano
Cantabas mis temas mientras yo tocaba el piano

La isla se hizo pequeña cada vez que nos miramos
Escuchando reggaetón a 180 en cualquier tramo
Ella se va, pero espero que nada sea en vano
Nunca había tenido algo tan sano

Hasta que me conoció
Ella no se lo esperaba
La vi entrando en la disco
Me devolvió la mirada
Sonrisita nerviosa
Entre besos, se enfadaba
Se le escapó un te quiero a la que no quería nada

(Volvió de estudiar en Columbia)
(A la isla, sin nada que hacer)
(El año se le hizo largo)
(Estudió y cumplir su deber)
(En llamada, su amiga le dice que este verano es pa' beber)
(Solo quiere salir y de nadie depender)

",Pop,es
"Lo que quiero, lo tengo
Sin perdón y sin permiso
Bebé, tú ten cuida'o
No sé si tú estás listo

Es que tengo el talento
De hacer que lo que me imagine se dé, yeah
Yo de diez soy un cien
Lo haré demasia'o bien, pa' que no se olvide

Solo esta noche soy tuya, tuya
Solo esta noche ere' mío, mío
Tú me quiere' ver desnu'a, uh-ah
Yo a ti debajo mi ombligo, yeah

Solo esta noche soy tuya, tuya
Solo esta noche ere' mío, mío
Sin remedio ni cura, uh-ah
Somos dos loquito', yeah

Yo sé que te gusta
Más que un primer día de verano (de verano)
Ya sé que me viste
No se puede tapar el Sol con la mano (eso es)

Se va calentando mi piel, eso va a tu favor
Un trozo del cielo, ese es mi sabor

Solo esta noche soy tuya, tuya
Solo esta noche ere' mío, mío
Sin remedio ni cura, uh-ah
Somos dos loquito', yeah

El sexo conmigo es de altura
Del Renacimiento soy una escultura
Tú a mí me encanta', tú ere' una hermosura
Soy tu diablilla en tus noches de diablura

Soy suavecita como cachemir
Toca esta guitarra, ven, acierta el traste
Intervención divina, soy tu porvenir (tú el mío)
Hijo de puta con suerte, porque me encontraste

Pégate a mí para que te dé buena suerte
Abrázame y no me sueltes
Pégate a mí, que te doy suerte
Soy tu número siete

Solo esta noche soy tuya, tuya
Solo esta noche ere' mío, mío
Tú me quiere' ver desnu'a, uh-ah
Yo a ti debajo mi ombligo, yeah

Solo esta noche soy tuya, tuya
Solo esta noche ere' mío, mío
Sin remedio ni cura, uh-ah
Somos dos loquito', yeah

Solo esta noche soy tuya, tuya
Solo esta noche ere' mío, mío
Sin remedio ni cura, uh-ah
Somos dos loquito', yeah",Pop,es
"Quiero bailar perreando toda la noche
Con las babies
Quiero brindar por un amor que nunca fue (hoy no, jajaja)
Sorry, baby (sorry)

Por la niña buena, por la niña mala
Y por esa amiga que se vuelve hermana
Por un lunes largo que se hace fatal
Pero llega el viernes y me siento high, ay
Que la calle me espera
La gente se entera que yo estoy soltera de vuelta
Party la nochе entera con todas mis nenas

Dicen que la vida es buena, buena es
De fiesta con la casa llena otra vez
Salud porque la vida es buena, buena es
De fiesta con la casa llena
Y este coro que te llega otra vez, ey

Quiero bailar perreando toda la noche
Con las babies
Quiero brindar por un amor que nunca fue (salud, salud)
Fuck you, baby (iba a decir sorry, perdón)

Da-ra-ran, di-ri-ri-ra-ri-ra-ra-ra
Con las babies
Da-ra-ran, di-ri-ri-ra-ri-ra-ra-ra
Con las babies

(Con las babies, con las babies)
Con las babies
Que la calle me espera
La gente se entera que yo estoy soltera de vuelta
Que la calle me espera
(Es que estoy feliz, te lo juro)

Salud porque la vida es buena, buena es
De fiesta con la casa llena otra vez
Salud porque la vida es buena, buena es
De fiesta con la casa llena
Y este coro que te llega otra vez (di-di-di-dice)

Quiero bailar perreando toda la noche
Con las babies
Quiero brindar por un amor que nunca fue
Fuck you, baby

Da-ra-ran, di-ri-ri-ra-ri-ra-ra-ra
Con las babies
Da-ra-ran, di-ri-ri-ra-ri-ra-ra-ra
Con las babies

(Con las babies)",Pop,es
"Tú y yo frente al mar
¿Te acuerdas de mí? ¿Dónde estás?
Yo quisiera verte, convencerte
De que vuelvas otra vez a quererme

Fue tan mágico, melancólico
Tan nostálgico, tan ilógico
Volver a perderte, quisiera volverme
Y, otra noche, yo en tus brazos perderme

Bailando como tú y yo
Si nadie puede hacerlo como tú y yo
Y nadie como tú me conoce
Yo no sé a quién llamo cuando lleguеn las doce

Baby, como tú y yo
Si nadie puede hacerlo como tú y yo
Que nadie como tú me conoce
Yo no sé a quién llamo cuando lleguen las doce

Ay
¿A quién llamo cuando lleguen las doce?

Beli, Ana Mena
Solo duermo pa' verte
Pa' soñarte un poquito
Cómo extraño tu boca
Y esos ojos bonitos

Fuimos lo más lindo que hay
No me digas goodbye
No me digas goodbye
Si esto era guay (guay)

Una guerra de besos que a ti te pone loquito
La camisa te deja', que yo esa no me la quito
Vuelve a darme un besito, babe
A quererme bonito
Yo quiero devolverme a ese veranito

Bailando como tú y yo
Si nadie puede hacerlo como tú y yo
Que nadie como tú me conoce
Yo no sé a quién llamo cuando lleguen las doce

Baby, como tú y yo
Si nadie puede hacerlo como tú y yo
Y nadie como tú me conoce
Yo no sé a quién llamo cuando lleguen las doce

Ay
¿A quién llamo cuando lleguen las doce?
(Doce-doce-do-do-do)
Ay
¿A quién llamo cuando lleguen las doce?",Pop,es
"Tú estás en otro lugar
Yo estoy por Medallo y te empecé a recordar
Mismas gana', diferente ciudad y no somo' na'
Quiero entenderte, pero no entiendo na'

No sé lo que querrá
Ni qué piensa', yo te pienso acá
De a rato' parece que te da igual
Te lleva' el brillo de mi mirada siempre que tú te va'

A kilómetros de ti
Que me guíe el Polaris pa' llegar hasta ti
Cuando estoy contigo a vece' no sé ni lo que decir
Y eso que yo no era así

Pero me tienes aquí, a kilómetros de mí
Que me guíe Polaris pa' llegar hasta ti
Cuando estoy contigo a vece' no sé ni lo que decir
Y eso que yo no era así

Que me guíe Polaris, yo le llego en un Can-Am
No se lo doy a ninguna que diga que es mi fan
Pa' prender está la van
Ma, yo no soy ese man, tú ere' mi plan A

Ya le metí a mi plan B
Si quiere' lo hacemo' otra ve'
Nadie nos vio, de testigo solo está la pared
Y tú tranquilita, que a nadie le conté

De cuando estamo' a sola', sola'
Te toco, eso allá abajo llora, llora
Pero de felicida'
Estar dentro de ti me da estabilida'

Y cuando estamo' a sola', sola'
Te toco, eso allá abajo llora, llora
Pero de felicida'
Hoy dañamo' la amista', yeah

Hablándote claro y siendo sincero, ma
